date,close,close_adjusted
2016-12-20,209.1400,178.5952
2016-12-21,208.5700,178.1084
2016-12-22,207.0100,177.8815
2016-12-23,207.1900,178.0362
2016-12-27,207.7000,178.4744
2016-12-28,206.0600,177.0652
2016-12-29,206.0200,177.0308
2016-12-30,205.3100,176.4207
2017-01-03,206.7400,177.6496
2017-01-04,207.9600,178.6979
2017-01-05,207.8000,178.5604
2017-01-06,208.6100,179.2564
2017-01-09,207.9500,178.6893
2017-01-10,207.9200,178.6635
2017-01-11,208.5100,179.1705
2017-01-12,208.0500,178.7752
2017-01-13,208.4600,179.1275
2017-01-17,207.7200,178.4917
2017-01-18,208.1600,178.8697
2017-01-19,207.4600,178.2682
2017-01-20,208.1300,178.8440
2017-01-23,207.6500,178.4315
2017-01-24,208.9700,179.5657
2017-01-25,210.7100,181.0609
2017-01-26,210.5500,180.9234
2017-01-27,210.2500,180.6656
2017-01-30,208.9800,179.5744
2017-01-31,208.9700,179.5657
2017-02-01,209.0000,179.5915
2017-02-02,209.0900,179.6688
2017-02-03,210.6400,181.0008
2017-02-06,210.2000,180.6227
2017-02-07,210.2500,180.6656
2017-02-08,210.5200,180.8976
2017-02-09,211.7200,181.9288
2017-02-10,212.5700,182.6592
2017-02-13,213.7000,183.6302
2017-02-14,214.5900,184.3950
2017-02-15,215.6800,185.3316
2017-02-16,215.5100,185.1855
2017-02-17,215.8400,185.4690
2017-02-21,217.1100,186.5604
2017-02-22,217.0100,186.4745
2017-02-23,217.1300,186.5776
2017-02-24,217.3900,186.8010
2017-02-27,217.7100,187.0760
2017-02-28,217.0700,186.5260
2017-03-01,220.1500,189.1726
2017-03-02,218.8600,188.0641
2017-03-03,218.9800,188.1673
2017-03-06,218.3000,187.5830
2017-03-07,217.6400,187.0158
2017-03-08,217.1800,186.6205
2017-03-09,217.4100,186.8181
2017-03-10,218.1700,187.4712
2017-03-13,218.3000,187.5830
2017-03-14,217.5600,186.9470
2017-03-15,219.3700,188.5023
2017-03-16,219.0000,188.1845
2017-03-17,218.5600,187.8063
2017-03-20,218.3700,187.6431
2017-03-21,215.5800,185.2457
2017-03-22,215.0200,185.6238
2017-03-23,214.8000,185.4339
2017-03-24,214.7300,185.3735
2017-03-27,214.3800,185.0713
2017-03-28,215.9700,186.4439
2017-03-29,216.2900,186.7201
2017-03-30,216.8700,187.2208
2017-03-31,216.3500,186.7719
2017-04-03,216.0800,186.5389
2017-04-04,216.2000,186.6424
2017-04-05,215.5400,186.0726
2017-04-06,216.1000,186.5561
2017-04-07,215.9100,186.3921
2017-04-10,216.0600,186.5216
2017-04-11,215.7900,186.2885
2017-04-12,214.9000,185.5202
2017-04-13,213.4700,184.2857
2017-04-17,215.3400,185.9000
2017-04-18,214.7500,185.3907
2017-04-19,214.2800,184.9849
2017-04-20,216.0300,186.4957
2017-04-21,215.4000,185.9518
2017-04-24,217.7000,187.9374
2017-04-25,219.0100,189.0683
2017-04-26,218.8500,188.9302
2017-04-27,219.0200,189.0769
2017-04-28,218.6000,188.7143
2017-05-01,219.1300,189.1719
2017-05-02,219.2000,189.2323
2017-05-03,218.9800,189.0424
2017-05-04,219.1800,189.2151
2017-05-05,220.0600,189.9747
2017-05-08,220.0700,189.9834
2017-05-09,219.7900,189.7416
2017-05-10,220.2000,190.0956
2017-05-11,219.7500,189.7071
2017-05-12,219.4100,189.4136
2017-05-15,220.5200,190.3719
2017-05-16,220.4800,190.3373
2017-05-17,216.5700,186.9619
2017-05-18,217.3600,187.6439
2017-05-19,218.7100,188.8093
2017-05-22,219.9300,189.8625
2017-05-23,220.3600,190.2337
2017-05-24,220.8900,190.6913
2017-05-25,221.9200,191.5805
2017-05-26,221.9300,191.5891
2017-05-30,221.7200,191.4078
2017-05-31,221.6700,191.3646
2017-06-01,223.4000,192.8581
2017-06-02,224.1000,193.4624
2017-06-05,223.9500,193.3329
2017-06-06,223.3100,192.7804
2017-06-07,223.6800,193.0998
2017-06-08,223.7600,193.1689
2017-06-09,223.5000,192.9444
2017-06-12,223.4100,192.8668
2017-06-13,224.5000,193.8077
2017-06-14,224.2600,193.6006
2017-06-15,223.8100,193.2121
2017-06-16,223.8700,193.2638
2017-06-19,225.7000,194.8437
2017-06-20,224.2200,193.5660
2017-06-21,224.1300,193.4884
2017-06-22,224.0000,193.3761
2017-06-23,223.3700,193.7056
2017-06-26,223.4400,193.7663
2017-06-27,221.6600,192.2227
2017-06-28,223.6200,193.9223
2017-06-29,221.6900,192.2487
2017-06-30,222.0600,192.5695
2017-07-03,222.5500,192.9945
2017-07-05,222.9400,193.3327
2017-07-06,220.9400,191.5983
2017-07-07,222.3400,192.8124
2017-07-10,222.5700,193.0119
2017-07-11,222.4000,192.8644
2017-07-12,224.0700,194.3127
2017-07-13,224.4500,194.6422
2017-07-14,225.4700,195.5267
2017-07-17,225.5000,195.5527
2017-07-18,225.6700,195.7002
2017-07-19,226.8600,196.7322
2017-07-20,226.9300,196.7928
2017-07-21,226.7700,196.6541
2017-07-24,226.6900,196.5847
2017-07-25,227.2300,197.0530
2017-07-26,227.3000,197.1137
2017-07-27,227.0300,196.8796
2017-07-28,226.7700,196.6541
2017-07-31,226.6400,196.5413
2017-08-01,227.1500,196.9836
2017-08-02,227.2800,197.0963
2017-08-03,226.8800,196.7495
2017-08-04,227.2600,197.0790
2017-08-07,227.6300,197.3999
2017-08-08,227.1800,197.0096
2017-08-09,227.0500,196.8969
2017-08-10,223.9300,194.1912
2017-08-11,224.2300,194.4514
2017-08-14,226.4300,196.3592
2017-08-15,226.4500,196.3766
2017-08-16,226.8100,196.6888
2017-08-17,223.2800,193.6276
2017-08-18,222.8700,193.2720
2017-08-21,223.1400,193.5062
2017-08-22,225.4000,195.4660
2017-08-23,224.6300,194.7983
2017-08-24,224.1100,194.3474
2017-08-25,224.6000,194.7723
2017-08-28,224.6800,194.8417
2017-08-29,224.8500,194.9891
2017-08-30,225.9700,195.9603
2017-08-31,227.3000,197.1137
2017-09-01,227.6900,197.4519
2017-09-05,226.0100,195.9950
2017-09-06,226.8000,196.6801
2017-09-07,226.7500,196.6367
2017-09-08,226.4000,196.3332
2017-09-11,228.8700,198.4752
2017-09-12,229.7100,199.2036
2017-09-13,229.8500,199.3251
2017-09-14,229.7700,199.2557
2017-09-15,230.0900,199.5332
2017-09-18,230.4900,199.8800
2017-09-19,230.7700,200.1229
2017-09-20,229.7200,200.2327
2017-09-21,229.0700,199.6661
2017-09-22,229.0400,199.6400
2017-09-25,228.7000,199.3436
2017-09-26,228.7800,199.4134
2017-09-27,229.6700,200.1891
2017-09-28,229.9400,200.4245
2017-09-29,230.7600,201.1392
2017-10-02,231.7300,201.9847
2017-10-03,232.2000,202.3944
2017-10-04,232.5200,202.6733
2017-10-05,233.9000,203.8761
2017-10-06,233.6800,203.6844
2017-10-09,233.2700,203.3270
2017-10-10,233.8600,203.8413
2017-10-11,234.2400,204.1725
2017-10-12,233.8800,203.8587
2017-10-13,234.1400,204.0854
2017-10-16,234.5100,204.4079
2017-10-17,234.6600,204.5386
2017-10-18,234.8700,204.7216
2017-10-19,234.9900,204.8262
2017-10-20,236.1600,205.8460
2017-10-23,235.3000,205.0964
2017-10-24,235.6300,205.3841
2017-10-25,234.5000,204.3991
2017-10-26,234.7200,204.5909
2017-10-27,236.7200,206.3341
2017-10-30,235.8600,205.5845
2017-10-31,236.1300,205.8199
2017-11-01,236.5400,206.1773
2017-11-02,236.6400,206.2644
2017-11-03,237.4300,206.9530
2017-11-06,237.7900,207.2668
2017-11-07,237.6900,207.1796
2017-11-08,238.0400,207.4847
2017-11-09,237.1800,206.7351
2017-11-10,237.0400,206.6131
2017-11-13,237.3200,206.8571
2017-11-14,236.7400,206.3516
2017-11-15,235.5300,205.2969
2017-11-16,237.5400,207.0489
2017-11-17,236.9000,206.4910
2017-11-20,237.2100,206.7612
2017-11-21,238.7900,208.1385
2017-11-22,238.6200,207.9903
2017-11-24,239.1200,208.4261
2017-11-27,239.0500,208.3651
2017-11-28,241.4200,210.4309
2017-11-29,241.3300,210.3524
2017-11-30,243.3500,212.1132
2017-12-01,242.9000,211.7209
2017-12-04,242.6400,211.4943
2017-12-05,241.7800,210.7447
2017-12-06,241.7700,210.7359
2017-12-07,242.5700,211.4332
2017-12-08,243.8900,212.5838
2017-12-11,244.6800,213.2724
2017-12-12,245.1000,213.6385
2017-12-13,245.0400,213.5862
2017-12-14,244.0700,212.7407
2017-12-15,246.1200,214.5275
2017-12-18,247.6500,215.8612
2017-12-19,246.7500,215.0767
2017-12-20,246.5600,214.9111
2017-12-21,247.0600,215.3469
2017-12-22,247.0100,215.3033
2017-12-26,245.5400,215.0528
2017-12-27,245.6800,215.1754
2017-12-28,246.1400,215.5784
2017-12-29,245.2900,214.8339
2018-01-02,247.0900,216.4104
2018-01-03,248.5600,217.6979
2018-01-04,249.6500,218.6525
2018-01-05,251.2500,220.0538
2018-01-08,251.7700,220.5093
2018-01-09,252.3000,220.9735
2018-01-10,251.8700,220.5969
2018-01-11,253.7300,222.2259
2018-01-12,255.4100,223.6973
2018-01-16,254.4800,222.8828
2018-01-17,256.9400,225.0374
2018-01-18,256.5900,224.7308
2018-01-19,257.6800,225.6855
2018-01-22,259.7500,227.4985
2018-01-23,260.3400,228.0152
2018-01-24,260.2100,227.9014
2018-01-25,260.3300,228.0064
2018-01-26,263.3600,230.6602
2018-01-29,261.5400,229.0662
2018-01-30,258.7500,226.6226
2018-01-31,258.9900,226.8328
2018-02-01,258.7300,226.6051
2018-02-02,253.1900,221.7530
2018-02-05,242.7900,212.6443
2018-02-06,247.2800,216.5768
